epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,704.462,0.21708,0.15831,0.19924,0.84737,0.99899,1,0.995,0.995,0.99899,1,0.995,0.99173,0.13431,0.1474,0.14666,0.75225,0.000614,0.000614,0.000614
72,710.896,0.20398,0.15436,0.19353,0.8369,0.99902,1,0.995,0.995,0.99902,1,0.995,0.99394,0.14303,0.14348,0.15526,0.75219,0.0005942,0.0005942,0.0005942
73,717.476,0.22069,0.16414,0.19833,0.84317,0.99905,1,0.995,0.995,0.99905,1,0.995,0.99344,0.15008,0.14001,0.16307,0.75377,0.0005744,0.0005744,0.0005744
74,723.944,0.2131,0.15423,0.19887,0.83828,0.99904,1,0.995,0.995,0.99904,1,0.995,0.99279,0.13562,0.13888,0.1615,0.75378,0.0005546,0.0005546,0.0005546
75,730.862,0.20578,0.15221,0.1916,0.84399,0.99905,1,0.995,0.995,0.99905,1,0.995,0.99279,0.14618,0.14035,0.1557,0.75375,0.0005348,0.0005348,0.0005348
76,737.765,0.18673,0.15024,0.17616,0.83713,0.99906,1,0.995,0.995,0.99906,1,0.995,0.9925,0.13295,0.14474,0.13524,0.75269,0.000515,0.000515,0.000515
77,744.206,0.19935,0.16112,0.1804,0.84137,0.99907,1,0.995,0.995,0.99907,1,0.995,0.99246,0.12098,0.14778,0.14135,0.74917,0.0004952,0.0004952,0.0004952
78,750.653,0.19574,0.15804,0.18509,0.83584,0.99906,1,0.995,0.995,0.99906,1,0.995,0.99261,0.12546,0.14974,0.13407,0.74929,0.0004754,0.0004754,0.0004754
79,757.106,0.1883,0.13825,0.1772,0.82204,0.99906,1,0.995,0.995,0.99906,1,0.995,0.99256,0.1304,0.14164,0.13327,0.75265,0.0004556,0.0004556,0.0004556
80,763.733,0.17957,0.14131,0.17174,0.82877,0.99906,1,0.995,0.995,0.99906,1,0.995,0.99364,0.1142,0.13991,0.12341,0.74723,0.0004358,0.0004358,0.0004358
81,770.185,0.18237,0.15274,0.172,0.83222,0.99906,1,0.995,0.995,0.99906,1,0.995,0.99294,0.11329,0.14146,0.12139,0.74741,0.000416,0.000416,0.000416
82,787.901,0.1826,0.15923,0.1727,0.82651,0.99906,1,0.995,0.995,0.99906,1,0.995,0.99385,0.12091,0.13755,0.12336,0.74821,0.0003962,0.0003962,0.0003962
83,794.378,0.19491,0.14768,0.18165,0.83505,0.99907,1,0.995,0.995,0.99907,1,0.995,0.99411,0.12307,0.13696,0.13338,0.74927,0.0003764,0.0003764,0.0003764
84,801.357,0.17996,0.15452,0.17431,0.82789,0.99906,1,0.995,0.995,0.99906,1,0.995,0.99356,0.11763,0.13719,0.12793,0.74739,0.0003566,0.0003566,0.0003566
85,808.358,0.1799,0.15134,0.16869,0.83057,0.99906,1,0.995,0.995,0.99906,1,0.995,0.99275,0.11698,0.14188,0.11894,0.74697,0.0003368,0.0003368,0.0003368
86,814.855,0.17569,0.15253,0.16794,0.8301,0.99905,1,0.995,0.995,0.99905,1,0.995,0.995,0.11994,0.13814,0.12145,0.74754,0.000317,0.000317,0.000317
87,821.31,0.18539,0.15243,0.17021,0.83596,0.99901,1,0.995,0.995,0.99901,1,0.995,0.99256,0.11697,0.1376,0.12619,0.7465,0.0002972,0.0002972,0.0002972
88,828.077,0.17685,0.14063,0.15925,0.82473,0.99896,1,0.995,0.995,0.99896,1,0.995,0.99266,0.10667,0.13851,0.11866,0.74745,0.0002774,0.0002774,0.0002774
89,835.23,0.1866,0.15971,0.16696,0.83693,0.99899,1,0.995,0.995,0.99899,1,0.995,0.99329,0.10299,0.13549,0.10815,0.74551,0.0002576,0.0002576,0.0002576
90,841.853,0.16643,0.15075,0.15731,0.82591,0.99902,1,0.995,0.995,0.99902,1,0.995,0.99301,0.11016,0.13323,0.1112,0.7473,0.0002378,0.0002378,0.0002378
91,857.969,0.13265,0.10559,0.18317,0.75937,0.99907,1,0.995,0.995,0.99907,1,0.995,0.99298,0.11088,0.13248,0.11604,0.74627,0.000218,0.000218,0.000218
92,864.391,0.12961,0.10354,0.14793,0.76013,0.99905,1,0.995,0.995,0.99905,1,0.995,0.99233,0.11874,0.13219,0.12205,0.74939,0.0001982,0.0001982,0.0001982
93,870.834,0.13817,0.1073,0.15378,0.78254,0.99901,1,0.995,0.995,0.99901,1,0.995,0.9923,0.12661,0.13375,0.14123,0.74962,0.0001784,0.0001784,0.0001784
94,877.339,0.14091,0.10405,0.16061,0.79285,0.99903,1,0.995,0.995,0.99903,1,0.995,0.99243,0.12817,0.13571,0.12652,0.74868,0.0001586,0.0001586,0.0001586
95,883.702,0.13219,0.10615,0.14859,0.78492,0.99905,1,0.995,0.995,0.99905,1,0.995,0.99238,0.12351,0.1369,0.12323,0.74734,0.0001388,0.0001388,0.0001388
96,890.119,0.13185,0.09918,0.14021,0.76601,0.99906,1,0.995,0.995,0.99906,1,0.995,0.99315,0.12316,0.13774,0.12125,0.7465,0.000119,0.000119,0.000119
97,896.588,0.1235,0.10322,0.13996,0.77358,0.99907,1,0.995,0.995,0.99907,1,0.995,0.99359,0.11507,0.1391,0.12242,0.74585,9.92e-05,9.92e-05,9.92e-05
98,903.045,0.12915,0.10584,0.13813,0.76178,0.99908,1,0.995,0.995,0.99908,1,0.995,0.99356,0.11106,0.13935,0.1218,0.74667,7.94e-05,7.94e-05,7.94e-05
99,909.513,0.1313,0.10231,0.14017,0.79422,0.99908,1,0.995,0.995,0.99908,1,0.995,0.99372,0.11582,0.13877,0.11352,0.74722,5.96e-05,5.96e-05,5.96e-05
100,915.916,0.12535,0.10698,0.13275,0.78501,0.99908,1,0.995,0.995,0.99908,1,0.995,0.9934,0.11128,0.13832,0.10843,0.74621,3.98e-05,3.98e-05,3.98e-05
